year,level_1,level_2,value
1961,All Items,Food,21.522
1961,All Items,Food Excl Food Serving Services,na
1961,All Items,Food Serving Services,na
1961,All Items,Clothing & Footwear,53.847
1961,All Items,Housing & Utilities,26.688
1961,All Items,Household Durables & Services,32.11
1961,All Items,Health Care,18.604
1961,All Items,Transport,20.537
1961,All Items,Communication,89.155
1961,All Items,Recreation & Culture,49.124
1961,All Items,Education,14.874
1961,All Items,Miscellaneous Goods & Services,18.833
1962,All Items,Food,21.674
1962,All Items,Food Excl Food Serving Services,na
1962,All Items,Food Serving Services,na
1962,All Items,Clothing & Footwear,53.59
1962,All Items,Housing & Utilities,26.849
1962,All Items,Household Durables & Services,32.154
1962,All Items,Health Care,18.612
1962,All Items,Transport,20.522
1962,All Items,Communication,89.155
1962,All Items,Recreation & Culture,49.124
1962,All Items,Education,14.93
1962,All Items,Miscellaneous Goods & Services,18.826
1963,All Items,Food,22.468
1963,All Items,Food Excl Food Serving Services,na
1963,All Items,Food Serving Services,na
1963,All Items,Clothing & Footwear,53.415
1963,All Items,Housing & Utilities,26.907
1963,All Items,Household Durables & Services,31.498
1963,All Items,Health Care,18.604
1963,All Items,Transport,20.539
1963,All Items,Communication,89.155
1963,All Items,Recreation & Culture,49.077
1963,All Items,Education,15.412
1963,All Items,Miscellaneous Goods & Services,18.823
1964,All Items,Food,23.034
1964,All Items,Food Excl Food Serving Services,na
1964,All Items,Food Serving Services,na
1964,All Items,Clothing & Footwear,53.723
1964,All Items,Housing & Utilities,27.401
1964,All Items,Household Durables & Services,31.574
1964,All Items,Health Care,18.604
1964,All Items,Transport,20.608
1964,All Items,Communication,96.585
1964,All Items,Recreation & Culture,49.124
1964,All Items,Education,15.578
1964,All Items,Miscellaneous Goods & Services,18.586
1965,All Items,Food,22.926
1965,All Items,Food Excl Food Serving Services,na
1965,All Items,Food Serving Services,na
1965,All Items,Clothing & Footwear,54.39
1965,All Items,Housing & Utilities,27.908
1965,All Items,Household Durables & Services,32.343
1965,All Items,Health Care,18.604
1965,All Items,Transport,20.608
1965,All Items,Communication,133.733
1965,All Items,Recreation & Culture,49.124
1965,All Items,Education,15.218
1965,All Items,Miscellaneous Goods & Services,18.91
1966,All Items,Food,23.565
1966,All Items,Food Excl Food Serving Services,na
1966,All Items,Food Serving Services,na
1966,All Items,Clothing & Footwear,55.315
1966,All Items,Housing & Utilities,27.748
1966,All Items,Household Durables & Services,34.577
1966,All Items,Health Care,18.604
1966,All Items,Transport,20.612
1966,All Items,Communication,133.733
1966,All Items,Recreation & Culture,49.124
1966,All Items,Education,15.701
1966,All Items,Miscellaneous Goods & Services,19.204
1967,All Items,Food,24.68
1967,All Items,Food Excl Food Serving Services,na
1967,All Items,Food Serving Services,na
1967,All Items,Clothing & Footwear,55.424
1967,All Items,Housing & Utilities,28.445
1967,All Items,Household Durables & Services,36.767
1967,All Items,Health Care,18.604
1967,All Items,Transport,20.632
1967,All Items,Communication,133.733
1967,All Items,Recreation & Culture,49.124
1967,All Items,Education,15.42
1967,All Items,Miscellaneous Goods & Services,19.29
1968,All Items,Food,24.725
1968,All Items,Food Excl Food Serving Services,na
1968,All Items,Food Serving Services,na
1968,All Items,Clothing & Footwear,55.737
1968,All Items,Housing & Utilities,28.789
1968,All Items,Household Durables & Services,37.507
1968,All Items,Health Care,18.881
1968,All Items,Transport,20.632
1968,All Items,Communication,133.733
1968,All Items,Recreation & Culture,49.124
1968,All Items,Education,15.179
1968,All Items,Miscellaneous Goods & Services,19.993
1969,All Items,Food,24.25
1969,All Items,Food Excl Food Serving Services,na
1969,All Items,Food Serving Services,na
1969,All Items,Clothing & Footwear,56.929
1969,All Items,Housing & Utilities,29.432
1969,All Items,Household Durables & Services,37.335
1969,All Items,Health Care,20.454
1969,All Items,Transport,20.675
1969,All Items,Communication,133.733
1969,All Items,Recreation & Culture,49.124
1969,All Items,Education,15.499
1969,All Items,Miscellaneous Goods & Services,20.683
1970,All Items,Food,24.129
1970,All Items,Food Excl Food Serving Services,na
1970,All Items,Food Serving Services,na
1970,All Items,Clothing & Footwear,57.222
1970,All Items,Housing & Utilities,29.648
1970,All Items,Household Durables & Services,38.014
1970,All Items,Health Care,20.454
1970,All Items,Transport,20.652
1970,All Items,Communication,133.733
1970,All Items,Recreation & Culture,49.124
1970,All Items,Education,15.82
